name,success,type,from,to,object,launch,finish,cospar,agency
Cassini-Huygens,TRUE,lander,saturn,titan,asteroid,7/1/04,1/14/05,1997-061A,nasa
Voyager 2,TRUE,flyby,saturn,uranus,planet,8/26/81,1/24/86,,nasa
Mariner 2,TRUE,flyby,earth,venus,planet,8/27/62,1/3/63,,nasa
Mariner 5,TRUE,flyby,earth,venus,planet,6/14/67,11/1/67,,nasa
Mariner 10,TRUE,flyby,earth,venus,planet,11/3/73,2/5/74,,nasa
Venera 12,TRUE,flyby,earth,venus,planet,9/14/78,12/21/78,,soviet
Venera 13,TRUE,flyby,earth,venus,planet,10/30/81,3/1/82,,soviet
Venera 14,TRUE,flyby,earth,venus,planet,11/4/81,3/5/82,,soviet
Vega 1,TRUE,flyby,earth,venus,planet,12/15/84,6/11/85,1984-125A,soviet
Vega 2,TRUE,flyby,earth,venus,planet,12/21/84,6/15/85,,soviet
Galileo,TRUE,flyby,earth,venus,planet,10/18/89,2/10/90,1989-084B,nasa
Cassini-Huygens,TRUE,flyby,earth,venus,planet,10/15/97,4/26/98,1997-061A,nasa
MESSENGER,TRUE,flyby,earth,venus,planet,8/3/04,10/24/06,,nasa
Cassini-Huygens,TRUE,flyby,venus,venus,planet,4/26/98,6/24/99,1997-061A,nasa
Venera 3,FALSE,lander,earth,venus,planet,11/16/65,3/1/66,,soviet
Venera 4,TRUE,lander,earth,venus,planet,6/12/67,10/18/67,,soviet
Venera 5,TRUE,lander,earth,venus,planet,1/5/69,5/16/69,,soviet
Venera 6,TRUE,lander,earth,venus,planet,1/10/69,5/17/69,,soviet
Venera 7,TRUE,lander,earth,venus,planet,8/17/70,,,soviet
Venera 8,TRUE,lander,earth,venus,planet,3/27/72,7/22/72,,soviet
Pioneer 13,TRUE,lander,earth,venus,planet,8/8/78,12/9/78,,nasa
Venera 11,TRUE,lander,earth,venus,planet,9/9/78,12/25/78,,soviet
Venera 9,TRUE,lander,venus,venus,planet,10/20/75,10/22/75,,soviet
Venera 10,TRUE,lander,venus,venus,planet,10/23/75,10/25/75,,soviet
Venera 12,TRUE,lander,venus,venus,planet,12/21/78,12/21/78,,soviet
Venera 13,TRUE,lander,venus,venus,planet,3/1/82,3/1/82,,soviet
Venera 14,TRUE,lander,venus,venus,planet,3/5/82,3/5/82,,soviet
Vega 1,TRUE,lander,venus,venus,planet,6/11/85,6/11/85,1984-125A,soviet
Venera 9,TRUE,orbit,earth,venus,planet,6/8/75,10/20/75,,soviet
Venera 10,TRUE,orbit,earth,venus,planet,6/14/75,10/23/75,,soviet
Pioneer 12,TRUE,orbit,earth,venus,planet,5/20/78,10/8/92,,nasa
Venera 15,TRUE,orbit,earth,venus,planet,6/2/83,7/1/84,,soviet
Venera 16,TRUE,orbit,earth,venus,planet,6/7/83,7/1/84,,soviet
Magellan,TRUE,orbit,earth,venus,planet,5/4/89,10/13/94,1989-033B,nasa
Venus Express,TRUE,orbit,earth,venus,planet,11/9/05,1/18/15,,esa
Akatsuki (Planet-C),FALSE,orbit,earth,venus,planet,5/20/10,12/6/10,2010-020D,jaxa
Akatsuki (Planet-C),TRUE,orbit,venus,venus,planet,12/6/10,12/7/15,2010-020D,jaxa
Sputnik 7,FALSE,lander,earth,venus,planet,2/4/61,2/26/61,,soviet
Venera 1,FALSE,flyby,earth,venus,planet,2/12/61,2/19/61,,soviet
Mariner 1,FALSE,flyby,earth,venus,planet,7/22/62,7/22/62,,nasa
Sputnik 20,FALSE,lander,earth,venus,planet,9/1/62,9/6/62,,soviet
Sputnik 21,FALSE,flyby,earth,venus,planet,9/12/62,9/14/62,,soviet
Cosmos 21,FALSE,flyby,earth,venus,planet,11/11/63,11/14/63,,soviet
Venera 1964A,FALSE,flyby,earth,venus,planet,2/19/64,2/19/64,,soviet
Venera 1964B,FALSE,flyby,earth,venus,planet,3/1/64,3/1/64,,soviet
Cosmos 27,FALSE,flyby,earth,venus,planet,3/27/64,3/27/64,,soviet
Zond 1,FALSE,lander,earth,venus,planet,4/2/64,4/2/64,,soviet
Venera 2,FALSE,flyby,earth,venus,planet,11/12/65,3/4/66,,soviet
Cosmos 96,FALSE,flyby,earth,venus,planet,11/23/65,12/9/65,,soviet
Venera 3,FALSE,lander,earth,venus,planet,11/26/65,11/26/65,,soviet
Cosmos 167,FALSE,lander,earth,venus,planet,6/17/67,6/25/67,,soviet
Cosmos 359,FALSE,lander,earth,venus,planet,8/22/70,8/22/70,,soviet
Cosmos 482,FALSE,lander,earth,venus,planet,3/31/72,4/3/72,,soviet
Dawn,TRUE,orbit,mars,vesta,asteroid,2/17/09,7/16/11,,nasa
