,name,success,type,from,to,object,launch,finish,cospar,agency,country
116,Vega 2,True,flyby,earth,venus,planet,12/21/84,6/15/85,,soviet,USA
117,Galileo,True,flyby,earth,venus,planet,10/18/89,2/10/90,1989-084B,nasa,USA
118,Cassini-Huygens,True,flyby,earth,venus,planet,10/15/97,4/26/98,1997-061A,nasa,USA
119,MESSENGER,True,flyby,earth,venus,planet,8/3/04,10/24/06,,nasa,USA
120,Cassini-Huygens,True,flyby,venus,venus,planet,4/26/98,6/24/99,1997-061A,nasa,USA
121,Venera 3,False,lander,earth,venus,planet,11/16/65,3/1/66,,soviet,USA
122,Venera 4,True,lander,earth,venus,planet,6/12/67,10/18/67,,soviet,USA
123,Venera 5,True,lander,earth,venus,planet,1/5/69,5/16/69,,soviet,USA
124,Venera 6,True,lander,earth,venus,planet,1/10/69,5/17/69,,soviet,USA
125,Venera 7,True,lander,earth,venus,planet,8/17/70,,,soviet,USA
126,Venera 8,True,lander,earth,venus,planet,3/27/72,7/22/72,,soviet,USA
127,Pioneer 13,True,lander,earth,venus,planet,8/8/78,12/9/78,,nasa,USA
128,Venera 11,True,lander,earth,venus,planet,9/9/78,12/25/78,,soviet,USA
129,Venera 9,True,lander,venus,venus,planet,10/20/75,10/22/75,,soviet,USA
130,Venera 10,True,lander,venus,venus,planet,10/23/75,10/25/75,,soviet,USA
131,Venera 12,True,lander,venus,venus,planet,12/21/78,12/21/78,,soviet,USA
132,Venera 13,True,lander,venus,venus,planet,3/1/82,3/1/82,,soviet,USA
133,Venera 14,True,lander,venus,venus,planet,3/5/82,3/5/82,,soviet,USA
134,Vega 1,True,lander,venus,venus,planet,6/11/85,6/11/85,1984-125A,soviet,USA
135,Venera 9,True,orbit,earth,venus,planet,6/8/75,10/20/75,,soviet,USA
136,Venera 10,True,orbit,earth,venus,planet,6/14/75,10/23/75,,soviet,USA
137,Pioneer 12,True,orbit,earth,venus,planet,5/20/78,10/8/92,,nasa,USA
138,Venera 15,True,orbit,earth,venus,planet,6/2/83,7/1/84,,soviet,USA
139,Venera 16,True,orbit,earth,venus,planet,6/7/83,7/1/84,,soviet,USA
140,Magellan,True,orbit,earth,venus,planet,5/4/89,10/13/94,1989-033B,nasa,USA
141,Venus Express,True,orbit,earth,venus,planet,11/9/05,1/18/15,,esa,USA
142,Akatsuki (Planet-C),False,orbit,earth,venus,planet,5/20/10,12/6/10,2010-020D,jaxa,USA
143,Akatsuki (Planet-C),True,orbit,venus,venus,planet,12/6/10,12/7/15,2010-020D,jaxa,USA
144,Sputnik 7,False,lander,earth,venus,planet,2/4/61,2/26/61,,soviet,USA
145,Venera 1,False,flyby,earth,venus,planet,2/12/61,2/19/61,,soviet,USA
146,Mariner 1,False,flyby,earth,venus,planet,7/22/62,7/22/62,,nasa,USA
147,Sputnik 20,False,lander,earth,venus,planet,9/1/62,9/6/62,,soviet,USA
148,Sputnik 21,False,flyby,earth,venus,planet,9/12/62,9/14/62,,soviet,USA
149,Cosmos 21,False,flyby,earth,venus,planet,11/11/63,11/14/63,,soviet,USA
150,Venera 1964A,False,flyby,earth,venus,planet,2/19/64,2/19/64,,soviet,USA
151,Venera 1964B,False,flyby,earth,venus,planet,3/1/64,3/1/64,,soviet,USA
152,Cosmos 27,False,flyby,earth,venus,planet,3/27/64,3/27/64,,soviet,USA
153,Zond 1,False,lander,earth,venus,planet,4/2/64,4/2/64,,soviet,USA
154,Venera 2,False,flyby,earth,venus,planet,11/12/65,3/4/66,,soviet,USA
155,Cosmos 96,False,flyby,earth,venus,planet,11/23/65,12/9/65,,soviet,USA
156,Venera 3,False,lander,earth,venus,planet,11/26/65,11/26/65,,soviet,USA
157,Cosmos 167,False,lander,earth,venus,planet,6/17/67,6/25/67,,soviet,USA
158,Cosmos 359,False,lander,earth,venus,planet,8/22/70,8/22/70,,soviet,USA
159,Cosmos 482,False,lander,earth,venus,planet,3/31/72,4/3/72,,soviet,USA
160,Dawn,True,orbit,mars,vesta,asteroid,2/17/09,7/16/11,,nasa,USA
